alpha,c_l,c_d,c_m,converged
-9.0,-0.0774,0.1313,-0.0783,1.0
-8.0,-0.0128,0.11786,-0.0864,1.0
-7.0,-0.0432,0.1201,-0.08875,1.0
-6.0,0.1907,0.0993,-0.0842,0.0
-5.0,0.0452,0.0936,-0.0922,1.0
-4.0,0.1087,0.08264,-0.10645,1.0
-3.0,0.303,0.0638,-0.1342,0.0
-2.0,0.1317,0.03903,-0.06635,0.0
-1.0,0.5356,0.0481,-0.1564,1.0
0.0,0.7334,0.03745,-0.1779,1.0
1.0,0.9463,0.03116,-0.1932,1.0
2.0,1.025,0.03235,-0.1886,1.0
3.0,1.064,0.03598,-0.1785,1.0
4.0,1.0205,0.0472,-0.1621,1.0
5.0,1.248,0.03958,-0.1738,0.0
6.0,1.151,0.0558,-0.1506,0.0
7.0,1.585,0.03442,-0.1886,0.0
8.0,1.5,0.04318,-0.163,0.0
9.0,1.47,0.05603,-0.1483,0.0
10.0,0.968,0.1268,-0.1305,1.0
11.0,0.9873,0.1368,-0.1287,1.0
12.0,1.132,0.1327,-0.1239,1.0
13.0,1.107,0.1461,-0.12286,1.0
14.0,1.117,0.1559,-0.1225,1.0
15.0,2.682,0.0471,-0.4111,0.0
16.0,3.195,0.01596,-0.5674,0.0
